ENVO:00000004	administrative region	GCMD:1ae304de-252c-45da-8dd8-df99a281e4f4	ADMINISTRATIVE DIVISIONS	administrative divis		info(related-label,rdf(ENVO:00000004-administrative region,oio:hasRelatedSynonym-has_related_synonym,administrative division-administrative division^^xsd:string)-rdf(GCMD:1ae304de-252c-45da-8dd8-df99a281e4f4-ADMINISTRATIVE DIVISIONS,skos:prefLabel,(ADMINISTRATIVE DIVISIONS-ADMINISTRATIVE DIVISIONS)@en),stem)	
ENVO:00000015	ocean	GCMD:91697b7d-8f2b-4954-850e-61d5f61c867d	OCEANS	ocean		info(exact-label,rdf(ENVO:00000015-ocean,oio:hasExactSynonym-has_exact_synonym,Ocean-Ocean^^xsd:string)-rdf(GCMD:91697b7d-8f2b-4954-850e-61d5f61c867d-OCEANS,skos:prefLabel,(OCEANS-OCEANS)@en),stem)	
ENVO:00000015	ocean	GCMD:91697b7d-8f2b-4954-850e-61d5f61c867d	OCEANS	ocean		info(exact-label,rdf(ENVO:00000015-ocean,oio:hasExactSynonym-has_exact_synonym,ocean-ocean^^xsd:string)-rdf(GCMD:91697b7d-8f2b-4954-850e-61d5f61c867d-OCEANS,skos:prefLabel,(OCEANS-OCEANS)@en),stem)	
ENVO:00000015	ocean	GCMD:91697b7d-8f2b-4954-850e-61d5f61c867d	OCEANS	ocean		info(label-label,rdf(ENVO:00000015-ocean,rdfs:label,ocean-ocean^^xsd:string)-rdf(GCMD:91697b7d-8f2b-4954-850e-61d5f61c867d-OCEANS,skos:prefLabel,(OCEANS-OCEANS)@en),stem)	
ENVO:00000019	saline lake	GCMD:06a2da0f-5234-4d29-905b-153d88657eb9	SALINE LAKES	saline lak		info(label-label,rdf(ENVO:00000019-saline lake,rdfs:label,saline lake-saline lake^^xsd:string)-rdf(GCMD:06a2da0f-5234-4d29-905b-153d88657eb9-SALINE LAKES,skos:prefLabel,(SALINE LAKES-SALINE LAKES)@en),stem)	
ENVO:00000032	bay	GCMD:f43cd776-c568-4d09-997c-0a8ad1022e06	INLETS	inlet		info(related-label,rdf(ENVO:00000032-bay,oio:hasRelatedSynonym-has_related_synonym,inlet-inlet^^xsd:string)-rdf(GCMD:f43cd776-c568-4d09-997c-0a8ad1022e06-INLETS,skos:prefLabel,(INLETS-INLETS)@en),stem)	
ENVO:00000035	marsh	GCMD:291a51b8-07e5-4a66-8140-d140d69843db	MARSHES	marsh		info(label-label,rdf(ENVO:00000035-marsh,rdfs:label,marsh-marsh^^xsd:string)-rdf(GCMD:291a51b8-07e5-4a66-8140-d140d69843db-MARSHES,skos:prefLabel,(MARSHES-MARSHES)@en),stem)	
ENVO:00000035	marsh	GCMD:291a51b8-07e5-4a66-8140-d140d69843db	MARSHES	marsh		info(related-label,rdf(ENVO:00000035-marsh,oio:hasRelatedSynonym-has_related_synonym,Marsh-Marsh^^xsd:string)-rdf(GCMD:291a51b8-07e5-4a66-8140-d140d69843db-MARSHES,skos:prefLabel,(MARSHES-MARSHES)@en),stem)	
ENVO:00000035	marsh	GCMD:291a51b8-07e5-4a66-8140-d140d69843db	MARSHES	marsh		info(related-label,rdf(ENVO:00000035-marsh,oio:hasRelatedSynonym-has_related_synonym,marsh-marsh^^xsd:string)-rdf(GCMD:291a51b8-07e5-4a66-8140-d140d69843db-MARSHES,skos:prefLabel,(MARSHES-MARSHES)@en),stem)	
ENVO:00000035	marsh	GCMD:30056645-a442-4ef6-ac76-c5bc27086d83	MARSHES	marsh		info(label-label,rdf(ENVO:00000035-marsh,rdfs:label,marsh-marsh^^xsd:string)-rdf(GCMD:30056645-a442-4ef6-ac76-c5bc27086d83-MARSHES,skos:prefLabel,(MARSHES-MARSHES)@en),stem)	
ENVO:00000035	marsh	GCMD:30056645-a442-4ef6-ac76-c5bc27086d83	MARSHES	marsh		info(related-label,rdf(ENVO:00000035-marsh,oio:hasRelatedSynonym-has_related_synonym,Marsh-Marsh^^xsd:string)-rdf(GCMD:30056645-a442-4ef6-ac76-c5bc27086d83-MARSHES,skos:prefLabel,(MARSHES-MARSHES)@en),stem)	
ENVO:00000035	marsh	GCMD:30056645-a442-4ef6-ac76-c5bc27086d83	MARSHES	marsh		info(related-label,rdf(ENVO:00000035-marsh,oio:hasRelatedSynonym-has_related_synonym,marsh-marsh^^xsd:string)-rdf(GCMD:30056645-a442-4ef6-ac76-c5bc27086d83-MARSHES,skos:prefLabel,(MARSHES-MARSHES)@en),stem)	
ENVO:00000035	marsh	GCMD:419877cb-0c17-44b0-9b3d-a2283887a7a6	MARSHES	marsh		info(label-label,rdf(ENVO:00000035-marsh,rdfs:label,marsh-marsh^^xsd:string)-rdf(GCMD:419877cb-0c17-44b0-9b3d-a2283887a7a6-MARSHES,skos:prefLabel,(MARSHES-MARSHES)@en),stem)	
ENVO:00000035	marsh	GCMD:419877cb-0c17-44b0-9b3d-a2283887a7a6	MARSHES	marsh		info(related-label,rdf(ENVO:00000035-marsh,oio:hasRelatedSynonym-has_related_synonym,Marsh-Marsh^^xsd:string)-rdf(GCMD:419877cb-0c17-44b0-9b3d-a2283887a7a6-MARSHES,skos:prefLabel,(MARSHES-MARSHES)@en),stem)	
ENVO:00000035	marsh	GCMD:419877cb-0c17-44b0-9b3d-a2283887a7a6	MARSHES	marsh		info(related-label,rdf(ENVO:00000035-marsh,oio:hasRelatedSynonym-has_related_synonym,marsh-marsh^^xsd:string)-rdf(GCMD:419877cb-0c17-44b0-9b3d-a2283887a7a6-MARSHES,skos:prefLabel,(MARSHES-MARSHES)@en),stem)	
ENVO:00000035	marsh	GCMD:7da95c01-4b39-437e-a8d4-fd572e43f693	WETLANDS	wetland		info(broad-label,rdf(ENVO:00000035-marsh,oio:hasBroadSynonym-has_broad_synonym,wetland-wetland^^xsd:string)-rdf(GCMD:7da95c01-4b39-437e-a8d4-fd572e43f693-WETLANDS,skos:prefLabel,(WETLANDS-WETLANDS)@en),stem)	
ENVO:00000035	marsh	GCMD:b72c49a1-8276-4753-8c88-894bc7bbf60d	WETLANDS	wetland		info(broad-label,rdf(ENVO:00000035-marsh,oio:hasBroadSynonym-has_broad_synonym,wetland-wetland^^xsd:string)-rdf(GCMD:b72c49a1-8276-4753-8c88-894bc7bbf60d-WETLANDS,skos:prefLabel,(WETLANDS-WETLANDS)@en),stem)	
ENVO:00000035	marsh	GCMD:d138302a-03b3-4cf7-95db-ac98f863c04f	WETLANDS	wetland		info(broad-label,rdf(ENVO:00000035-marsh,oio:hasBroadSynonym-has_broad_synonym,wetland-wetland^^xsd:string)-rdf(GCMD:d138302a-03b3-4cf7-95db-ac98f863c04f-WETLANDS,skos:prefLabel,(WETLANDS-WETLANDS)@en),stem)	
ENVO:00000038	lagoon	GCMD:c733c179-c12a-47e9-8e9a-817a5212446f	LAGOONS	lagoon		info(exact-label,rdf(ENVO:00000038-lagoon,oio:hasExactSynonym-has_exact_synonym,LAGOON-LAGOON^^xsd:string)-rdf(GCMD:c733c179-c12a-47e9-8e9a-817a5212446f-LAGOONS,skos:prefLabel,(LAGOONS-LAGOONS)@en),stem)	
ENVO:00000038	lagoon	GCMD:c733c179-c12a-47e9-8e9a-817a5212446f	LAGOONS	lagoon		info(exact-label,rdf(ENVO:00000038-lagoon,oio:hasExactSynonym-has_exact_synonym,Lagoon-Lagoon^^xsd:string)-rdf(GCMD:c733c179-c12a-47e9-8e9a-817a5212446f-LAGOONS,skos:prefLabel,(LAGOONS-LAGOONS)@en),stem)	
ENVO:00000038	lagoon	GCMD:c733c179-c12a-47e9-8e9a-817a5212446f	LAGOONS	lagoon		info(exact-label,rdf(ENVO:00000038-lagoon,oio:hasExactSynonym-has_exact_synonym,lagoon-lagoon^^xsd:string)-rdf(GCMD:c733c179-c12a-47e9-8e9a-817a5212446f-LAGOONS,skos:prefLabel,(LAGOONS-LAGOONS)@en),stem)	
ENVO:00000038	lagoon	GCMD:c733c179-c12a-47e9-8e9a-817a5212446f	LAGOONS	lagoon		info(exact-label,rdf(ENVO:00000038-lagoon,oio:hasExactSynonym-has_exact_synonym,lagoons-lagoons^^xsd:string)-rdf(GCMD:c733c179-c12a-47e9-8e9a-817a5212446f-LAGOONS,skos:prefLabel,(LAGOONS-LAGOONS)@en),stem)	
ENVO:00000038	lagoon	GCMD:c733c179-c12a-47e9-8e9a-817a5212446f	LAGOONS	lagoon		info(label-label,rdf(ENVO:00000038-lagoon,rdfs:label,lagoon-lagoon^^xsd:string)-rdf(GCMD:c733c179-c12a-47e9-8e9a-817a5212446f-LAGOONS,skos:prefLabel,(LAGOONS-LAGOONS)@en),stem)	
